Vorname;Nachname;E-Mail;Klasse;Benutzername;Passwort;Geschwister
Paul;Barragán;paul.barragán@school.net;8b;paul.barragán;password;
Sophie;Águila;sophie.águila@school.net;10a;sophie.águila;password;
Paul;Kastner;paul.kastner@school.net;6c;paul.kastner;password;
Max;Olivares;max.olivares@school.net;12c;max.olivares;password;
David;Pujol;david.pujol@school.net;10b;david.pujol;password;
Uwe;Lachapelle;uwe.lachapelle@school.net;6a;uwe.lachapelle;password;
Greta;Orozco;greta.orozco@school.net;9c;greta.orozco;password;
Zoe;Yturralde;zoe.yturralde@school.net;9c;zoe.yturralde;password;
Uwe;Téllez;uwe.téllez@school.net;10c;uwe.téllez;password;
David;Ríos;david.ríos@school.net;7a;david.ríos;password;
Clara;Weinstein;clara.weinstein@school.net;8b;clara.weinstein;password;
Greta;Favre;greta.favre@school.net;6b;greta.favre;password;
Lena;Deschamps;lena.deschamps@school.net;6c;lena.deschamps;password;
Rita;Nadal;rita.nadal@school.net;9c;rita.nadal;password;
Quentin;Dupré;quentin.dupré@school.net;10a;quentin.dupré;password;
Ben;Ramírez;ben.ramírez@school.net;9a;ben.ramírez;password;
Tom;Joubert;tom.joubert@school.net;7c;tom.joubert;password;
Ben;Leroux;ben.leroux@school.net;11c;ben.leroux;password;
Oliver;Nevárez;oliver.nevárez@school.net;5a;oliver.nevárez;password;
Ben;Favre;ben.favre@school.net;11c;ben.favre;password;
Xenia;Téllez;xenia.téllez@school.net;9b;xenia.téllez;password;
Walter;Saavedra;walter.saavedra@school.net;7c;walter.saavedra;password;
Paul;Pacheco;paul.pacheco@school.net;12a;paul.pacheco;password;
Lena;Leroux;lena.leroux@school.net;10c;lena.leroux;password;
Hannah;Clément;hannah.clément@school.net;11a;hannah.clément;password;
Uwe;Kastner;uwe.kastner@school.net;8c;uwe.kastner;password;
Quentin;Olivares;quentin.olivares@school.net;7c;quentin.olivares;password;
Jan;Zaragoza;jan.zaragoza@school.net;5a;jan.zaragoza;password;
Xenia;Gascón;xenia.gascón@school.net;5b;xenia.gascón;password;
Tom;Saavedra;tom.saavedra@school.net;10c;tom.saavedra;password;
Clara;Lachapelle;clara.lachapelle@school.net;6a;clara.lachapelle;password;
Rita;Leroux;rita.leroux@school.net;6c;rita.leroux;password;
Yannick;Jourdain;yannick.jourdain@school.net;5a;yannick.jourdain;password;
