Vorname;Nachname;E-Mail;Klasse;Benutzername;Passwort;Titel;Raumnummer;Raumname
Irma;Moreau;irma.moreau@lehrer.de;10b;irma.moreau;password;;R247;Sprechzimmer
Helga;Serrano;helga.serrano@lehrer.de;12a;helga.serrano;password;;R276;Sprechzimmer
Frieda;Dumont;frieda.dumont@lehrer.de;5b;frieda.dumont;password;Dr.;R260;Sprechzimmer
Helga;Durand;helga.durand@lehrer.de;11b;helga.durand;password;;R264;Sprechzimmer
Irma;Chávez;irma.chávez@lehrer.de;6c;irma.chávez;password;;R286;Sprechzimmer
Theodor;Pereira;theodor.pereira@lehrer.de;10b;theodor.pereira;password;;R286;Sprechzimmer
Helga;Beaumont;helga.beaumont@lehrer.de;9a;helga.beaumont;password;Mag.;R287;Sprechzimmer
Paula;Lemoine;paula.lemoine@lehrer.de;6b;paula.lemoine;password;;R207;Sprechzimmer
Hedwig;Tremblay;hedwig.tremblay@lehrer.de;6b;hedwig.tremblay;password;Mag.;R231;Sprechzimmer
Lieselotte;Salcedo;lieselotte.salcedo@lehrer.de;8a;lieselotte.salcedo;password;;R108;Sprechzimmer
Lieselotte;Leblanc;lieselotte.leblanc@lehrer.de;5b;lieselotte.leblanc;password;;R205;Sprechzimmer
Siegfried;Villeneuve;siegfried.villeneuve@lehrer.de;7c;siegfried.villeneuve;password;;R168;Sprechzimmer
Hedwig;Reyes;hedwig.reyes@lehrer.de;7a;hedwig.reyes;password;;R207;Sprechzimmer
Helga;Lemoine;helga.lemoine@lehrer.de;5b;helga.lemoine;password;;R163;Sprechzimmer
Frieda;Delacroix;frieda.delacroix@lehrer.de;9a;frieda.delacroix;password;;R226;Sprechzimmer
Irma;Navarro;irma.navarro@lehrer.de;12a;irma.navarro;password;;R234;Sprechzimmer
Dorothea;Rousseau;dorothea.rousseau@lehrer.de;9b;dorothea.rousseau;password;;R122;Sprechzimmer
Mathilde;Beaumont;mathilde.beaumont@lehrer.de;11b;mathilde.beaumont;password;Mag.;R219;Sprechzimmer
Frieda;Peñalosa;frieda.peñalosa@lehrer.de;11a;frieda.peñalosa;password;;R244;Sprechzimmer
Helga;Pereira;helga.pereira@lehrer.de;7a;helga.pereira;password;;R171;Sprechzimmer
Erwin;Delacroix;erwin.delacroix@lehrer.de;5a;erwin.delacroix;password;;R118;Sprechzimmer
Siegfried;Salcedo;siegfried.salcedo@lehrer.de;12a;siegfried.salcedo;password;;R120;Sprechzimmer
Mathilde;Reyes;mathilde.reyes@lehrer.de;8c;mathilde.reyes;password;;R204;Sprechzimmer
Adelheid;Durand;adelheid.durand@lehrer.de;9a;adelheid.durand;password;;R113;Sprechzimmer
Rüdiger;von Breytenbach;rüdiger.von breytenbach@lehrer.de;6a;rüdiger.von breytenbach;password;;R286;Sprechzimmer
Theodor;González;theodor.gonzález@lehrer.de;7c;theodor.gonzález;password;Dr.;R210;Sprechzimmer
Jakob;Sáez;jakob.sáez@lehrer.de;9a;jakob.sáez;password;;R118;Sprechzimmer
Helga;Álvarez;helga.álvarez@lehrer.de;10a;helga.álvarez;password;;R236;Sprechzimmer
Mathilde;Espinosa;mathilde.espinosa@lehrer.de;12c;mathilde.espinosa;password;;R253;Sprechzimmer
